,FILEID,STUSAB,SUMLEV,GEOVAR,GEOCOMP,CHARITER,CIFSN_x,LOGRECNO,GEOID,GEOCODE,REGION,DIVISION,STATE,STATENS,COUNTY,COUNTYCC,COUNTYNS,COUSUB,COUSUBCC,COUSUBNS,SUBMCD,SUBMCDCC,SUBMCDNS,ESTATE,ESTATECC,ESTATENS,CONCIT,CONCITCC,CONCITNS,PLACE,PLACECC,PLACENS,TRACT,BLKGRP,BLOCK,AIANHH,AIHHTLI,AIANHHFP,AIANHHCC,AIANHHNS,AITS,AITSFP,AITSCC,AITSNS,TTRACT,TBLKGRP,ANRC,ANRCCC,ANRCNS,CBSA,MEMI,CSA,METDIV,NECTA,NMEMI,CNECTA,NECTADIV,CBSAPCI,NECTAPCI,UA,UATYPE,UR,CD116,CD118,CD119,CD120,CD121,SLDU18,SLDU22,SLDU24,SLDU26,SLDU28,SLDL18,SLDL22,SLDL24,SLDL26,SLDL28,VTD,VTDI,ZCTA,SDELM,SDSEC,SDUNI,PUMA,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,GCUNI,POP100,HU100,INTPTLAT,INTPTLON,LSADC,PARTFLAG,UGA,CIFSN_y,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,CIFSN_x.1,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,CIFSN_y.1,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
0,PLST,NY,50,0,0,0,0,2,0500000US36001,36001,1,2,36,1779796,1.0,H1,974099.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10580.0,1.0,104.0,99999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1354273421,26971925,Albany,Albany County,A,,314848,146131,42.5882401,-73.9740095,06,,,1,314848,293076,215496,43206,845,24473,183,8873,21772,20193,4611,2945,2493,70,7332,561,193,37,1633,25,3,97,54,94,45,1410,525,126,16,355,26,4,172,54,42,5,9,0,37,0,13,9,8,7,2,0,143,27,16,84,0,2,6,2,1,0,0,0,1,0,0,4,24,20,4,0,0,0,0,2,2,314848,21595,293253,278406,210895,40667,494,24363,166,1821,14847,13967,4100,2792,2427,65,3008,503,181,37,689,22,2,4,49,75,13,807,424,110,14,105,26,4,14,47,18,0,6,0,12,0,11,4,5,7,0,0,60,27,14,14,0,1,0,2,1,0,0,0,1,0,0,0,13,9,4,0,0,0,0,0,0,2,255875,241725,183252,32026,663,18837,131,6816,14150,13246,2156,2296,1305,50,5386,448,123,29,1219,21,1,78,48,54,32,804,296,57,8,198,13,3,110,33,26,1,9,0,29,0,12,4,3,0,2,0,90,21,5,59,0,2,0,2,1,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,255875,15425,240450,231023,179885,30538,393,18752,116,1339,9427,8933,1960,2208,1272,45,2223,408,118,29,558,18,0,3,43,44,4,455,239,46,8,60,13,3,14,32,10,0,6,0,9,0,11,4,0,0,0,0,35,21,5,5,0,1,0,2,1,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,146131,132812,13319,3,16723,2716,303,186,2048,179,14007,11185,0,2822
1,PLST,NY,50,0,0,0,0,3,0500000US36003,36003,1,2,36,1779796,3.0,H1,974100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999.0,9.0,999.0,99999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2666225086,12989848,Allegany,Allegany County,A,,46456,23454,42.2478532,-78.0261531,06,,,1,46456,44541,42555,829,91,379,9,678,1915,1824,220,693,138,17,661,12,8,0,30,8,0,0,32,1,4,82,20,7,0,4,5,1,18,10,7,0,1,0,5,0,2,0,0,0,0,2,6,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,46456,965,45491,43824,42327,809,91,373,6,218,1667,1606,218,680,131,17,485,9,8,0,15,8,0,0,32,1,2,55,20,6,0,3,5,1,4,9,3,0,0,0,0,0,2,0,0,0,0,2,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,36863,35582,33800,765,77,336,9,595,1281,1217,82,482,66,13,496,11,5,0,23,8,0,0,30,1,0,58,17,6,0,2,2,0,11,10,3,0,1,0,3,0,1,0,0,0,0,2,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,36863,725,36138,35007,33674,748,77,330,6,172,1131,1081,82,482,64,13,374,9,5,0,13,8,0,0,30,1,0,45,17,6,0,1,2,0,4,9,3,0,0,0,0,0,1,0,0,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,23454,17668,5786,3,4502,544,78,0,466,0,3958,3808,0,150
2,PLST,NY,50,0,0,0,0,4,0500000US36005,36005,1,2,36,1779796,5.0,H6,974101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,1.0,408.0,35614.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109224611,39362153,Bronx,Bronx County,C,,1472654,547030,40.8487111,-73.852939,06,,,1,1472654,1280481,207573,487118,21539,69559,1640,493052,192173,175249,12298,1667,3877,110,77946,4766,1798,478,59626,496,103,6351,382,3084,2267,13624,2698,417,36,6508,68,15,1409,66,401,75,122,23,1092,58,304,123,8,94,33,74,3030,211,26,2441,4,195,10,2,27,5,30,3,30,1,36,9,247,63,161,16,4,3,0,23,23,1472654,806463,666191,637821,130796,419393,3087,67766,457,16322,28370,25908,6796,560,3525,43,1658,3234,1502,391,5343,420,23,301,346,1570,196,2120,1021,275,28,240,28,10,8,49,62,3,88,14,60,36,117,17,7,35,3,19,285,104,15,81,4,34,0,2,3,3,13,2,6,1,13,4,53,24,29,0,0,0,0,4,4,2,1123075,974817,167852,368874,15780,53930,1144,367237,148258,135770,8680,1299,2449,78,62713,3623,1195,361,45776,358,85,4713,277,2395,1768,9953,2008,270,24,4714,42,12,1101,44,245,57,102,18,822,41,196,75,8,78,33,63,2335,151,20,1907,0,144,10,0,24,5,21,2,17,1,27,6,183,42,118,16,4,3,0,17,17,1123075,600336,522739,501175,110585,324265,2236,52705,325,11059,21564,19699,5001,479,2233,34,1239,2599,1049,302,4497,309,23,232,247,1288,167,1594,780,187,22,170,19,10,8,32,40,3,79,10,59,29,71,11,7,35,3,19,228,80,12,59,0,34,0,0,3,3,13,2,6,1,11,4,42,13,29,0,0,0,0,1,1,547030,522450,24580,3,52815,15036,3815,272,10485,464,37779,7348,0,30431
3,PLST,NY,50,0,0,0,0,5,0500000US36007,36007,1,2,36,1779796,7.0,H1,974102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13780.0,1.0,999.0,99999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1827594819,25109986,Broome,Broome County,A,,198683,92569,42.1619773,-75.8302833,06,,,1,198683,185345,158674,12684,556,9372,84,3975,13338,12412,3053,2685,1162,70,4411,266,89,50,513,7,0,23,27,42,14,813,330,61,15,167,42,8,71,33,13,7,7,5,20,5,16,1,0,9,3,0,103,19,3,60,0,17,0,0,0,0,2,0,0,1,1,0,10,4,0,6,0,0,0,0,0,198683,10285,188398,178398,156173,11547,413,9337,64,864,10000,9473,2769,2526,1132,66,2359,226,83,36,207,7,0,5,25,31,1,493,255,53,15,48,37,1,13,28,10,4,6,0,4,5,10,1,0,0,3,0,30,17,3,3,0,6,0,0,0,0,0,0,0,1,0,0,4,3,0,1,0,0,0,0,0,2,161645,153368,132621,9052,450,8062,66,3117,8277,7774,1173,2043,652,45,3172,204,36,26,354,2,0,22,11,20,14,430,169,21,3,63,23,8,52,15,10,7,6,5,18,5,13,0,0,9,3,0,64,11,3,38,0,10,0,0,0,0,1,0,0,1,0,0,9,4,0,5,0,0,0,0,0,161645,7054,154591,148443,130985,8429,343,8035,52,599,6148,5863,1091,1952,641,45,1728,184,34,14,141,2,0,4,11,15,1,261,139,21,3,13,19,1,13,10,10,4,6,0,4,5,10,0,0,0,3,0,21,11,3,0,0,6,0,0,0,0,0,0,0,1,0,0,3,3,0,0,0,0,0,0,0,92569,82088,10481,3,11706,3348,313,89,2889,57,8358,7573,0,785
4,PLST,NY,50,0,0,0,0,6,0500000US36009,36009,1,2,36,1779796,9.0,H1,974103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36460.0,2.0,160.0,99999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3388125876,36783591,Cattaraugus,Cattaraugus County,A,,77042,40152,42.239098600000005,-78.66233199999999,06,,,1,77042,73029,68128,1043,2706,567,14,571,4013,3789,689,1547,189,12,1233,36,4,1,39,8,3,10,10,0,8,172,70,2,0,20,8,2,17,20,12,1,1,0,9,0,0,4,0,4,2,0,35,6,3,10,0,0,0,1,12,1,0,1,0,0,0,1,14,8,0,0,0,0,6,3,3,77042,1615,75427,71992,67554,996,2661,560,9,212,3435,3312,669,1509,172,12,870,32,4,1,17,8,3,2,10,0,3,109,61,2,0,7,5,0,9,16,6,0,1,0,0,0,0,2,0,0,0,0,13,6,3,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,60217,57862,54326,810,1914,433,9,370,2355,2233,228,966,85,8,863,24,0,1,28,8,0,4,10,0,8,86,36,2,0,4,1,0,6,11,12,0,0,0,6,0,0,4,0,2,2,0,24,6,0,10,0,0,0,0,7,0,0,1,0,0,0,0,9,8,0,0,0,0,1,3,3,60217,984,59233,57226,53982,780,1894,427,9,134,2007,1941,220,947,70,8,640,21,0,1,11,8,0,2,10,0,3,56,31,2,0,3,1,0,4,7,6,0,0,0,0,0,0,2,0,0,0,0,9,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,40152,31863,8289,3,2746,671,113,78,480,0,2075,1338,0,737
5,PLST,NY,50,0,0,0,0,7,0500000US36011,36011,1,2,36,1779796,11.0,H1,974104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12180.0,2.0,532.0,99999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1791190744,445707952,Cayuga,Cayuga County,A,,76248,36660,43.0085456,-76.57458659999999,06,,,1,76248,71709,67017,2910,310,385,54,1033,4539,4317,1133,1128,197,41,1633,41,20,1,84,2,4,15,10,5,3,194,77,20,0,31,1,1,34,6,5,1,1,1,2,0,6,0,0,0,0,8,26,17,0,6,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,76248,2636,73612,69950,66313,2727,224,379,54,253,3662,3522,1073,1092,190,35,1003,41,18,1,54,2,4,0,9,0,0,136,73,13,0,22,0,1,9,6,4,0,0,1,0,0,3,0,0,0,0,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,61212,58459,54611,2437,260,320,30,801,2753,2656,394,864,104,18,1143,38,9,1,49,0,4,14,10,5,3,81,22,12,0,13,0,0,19,5,1,1,1,0,0,0,2,0,0,0,0,5,14,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,61212,1843,59369,57124,54139,2285,191,314,30,165,2245,2184,375,850,104,18,751,38,7,1,27,0,4,0,9,0,0,60,22,8,0,10,0,0,9,5,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,36660,31328,5332,3,3636,2645,2049,58,527,11,991,404,0,587
6,PLST,NY,50,0,0,0,0,8,0500000US36013,36013,1,2,36,1779796,13.0,H1,974105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27460.0,2.0,999.0,99999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2746454150,1139025723,Chautauqua,Chautauqua County,A,,127657,66247,42.3042159,-79.4075949,06,,,1,127657,118513,109333,3354,673,818,57,4278,9144,8677,1539,1871,341,16,4535,52,15,4,217,3,0,33,12,16,23,412,157,0,6,179,5,2,36,6,0,2,2,1,6,0,0,0,7,0,2,1,49,2,7,23,12,1,0,0,3,0,0,0,0,0,1,0,4,1,0,0,0,2,1,2,2,127657,11769,115888,110659,106063,2891,497,796,49,363,5229,5034,1357,1782,331,16,1421,47,12,4,35,3,0,0,10,15,1,172,127,0,6,23,5,1,1,0,0,0,0,0,0,0,0,0,7,0,1,1,20,2,7,0,10,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2,2,101314,95700,88883,2612,506,695,43,2961,5614,5373,564,1298,188,1,3070,37,11,4,138,0,0,21,10,16,15,201,78,0,6,81,1,1,22,5,0,0,0,1,3,0,0,0,0,0,2,1,35,2,7,19,5,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,2,1,2,2,101314,7533,93781,90549,86856,2349,393,683,35,233,3232,3147,520,1270,183,1,1074,32,8,4,29,0,0,0,10,15,1,70,60,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,13,2,7,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,66247,53223,13024,3,5036,1696,812,5,879,0,3340,2048,0,1292
7,PLST,NY,50,0,0,0,0,9,0500000US36015,36015,1,2,36,1779796,15.0,H1,974106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21300.0,1.0,236.0,99999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1054988422,8875327,Chemung,Chemung County,A,,84148,38985,42.1486972,-76.7524712,06,,,1,84148,78412,70463,5315,240,1432,15,947,5736,5404,1892,1284,353,33,1649,51,9,2,111,1,3,10,1,2,3,306,140,14,3,54,18,0,56,3,5,1,2,0,0,4,0,3,0,0,0,3,22,8,0,12,2,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,1,0,0,84148,2938,81210,76435,69559,5009,198,1426,15,228,4775,4588,1786,1244,345,33,1076,37,9,0,50,0,3,2,1,0,2,181,115,14,3,26,12,0,4,0,1,1,1,0,0,4,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,1,0,0,2,66485,63180,56986,4145,220,1095,15,719,3305,3141,679,1005,165,25,1141,45,9,1,54,0,3,10,1,0,3,150,64,0,0,17,14,0,36,2,4,1,2,0,0,4,0,3,0,0,0,3,10,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,1,0,0,66485,1930,64555,61800,56391,3954,181,1091,15,168,2755,2669,657,979,157,25,773,34,9,0,27,0,3,2,1,0,2,80,58,0,0,4,8,0,4,0,0,1,1,0,0,4,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,1,0,0,38985,35242,3743,3,3865,2819,1964,35,749,71,1046,588,0,458
8,PLST,NY,50,0,0,0,0,10,0500000US36017,36017,1,2,36,1779796,17.0,H1,974107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999.0,9.0,999.0,99999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2314393901,13046917,Chenango,Chenango County,A,,47220,24210,42.478023799999995,-75.6022407,06,,,1,47220,44627,43531,357,126,245,15,353,2593,2479,311,858,110,8,1140,6,0,6,17,2,0,1,4,13,3,84,36,9,0,13,2,3,10,7,0,0,2,0,1,0,1,0,0,0,0,0,25,4,0,10,1,0,0,3,0,0,3,0,2,2,0,0,5,3,2,0,0,0,0,0,0,47220,1117,46103,43951,43153,345,93,236,15,109,2152,2079,290,843,109,8,799,2,0,6,3,2,0,0,4,13,0,59,30,8,0,13,2,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,14,4,0,2,0,0,0,3,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,37509,35774,34959,251,113,192,7,252,1735,1673,123,642,61,5,805,6,0,6,8,2,0,1,4,7,3,40,21,1,0,5,2,3,4,1,0,0,2,0,1,0,0,0,0,0,0,0,17,4,0,8,0,0,0,0,0,0,3,0,0,2,0,0,5,3,2,0,0,0,0,0,0,37509,739,36770,35326,34721,241,89,192,7,76,1444,1409,116,635,61,5,568,2,0,6,3,2,0,0,4,7,0,28,15,0,0,5,2,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24210,19897,4313,3,838,598,59,15,524,0,240,0,0,240
9,PLST,NY,50,0,0,0,0,11,0500000US36019,36019,1,2,36,1779796,19.0,H1,974108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38460.0,2.0,999.0,99999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2687763026,206582007,Clinton,Clinton County,A,,79843,37315,44.752712,-73.7056429,06,,,1,79843,75498,70142,3060,285,975,26,1010,4345,4142,651,1624,282,30,1381,17,13,1,67,8,3,20,15,25,5,172,56,26,5,30,7,7,20,7,4,0,1,0,0,3,2,1,0,3,0,0,24,3,2,6,0,5,0,7,1,0,0,0,0,0,0,0,7,4,3,0,0,0,0,0,0,79843,2856,76987,73493,69251,2753,238,957,24,270,3494,3380,588,1592,282,27,808,17,11,0,13,8,2,0,12,20,0,104,44,24,4,1,7,7,0,7,4,0,1,0,0,3,2,0,0,0,0,0,9,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,65038,62050,57303,2798,248,810,22,869,2988,2877,278,1253,149,18,1033,13,11,1,62,8,2,20,12,12,5,94,32,12,0,12,7,3,19,7,0,0,1,0,0,0,0,1,0,0,0,0,14,0,0,4,0,3,0,7,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,65038,2285,62753,60361,56614,2517,205,802,20,203,2392,2323,251,1226,149,18,615,13,11,0,11,8,2,0,12,7,0,61,32,11,0,0,7,3,0,7,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,37315,32583,4732,3,5613,3121,2653,9,459,0,2492,2187,0,305
